62	80	0.5	0.1	 0.5	0.2	0.5
62	80	0.5	0.1	 0.5	0.2	0.5
69	80	0.5	0.1	 0.5	0.2	0.5
69	80	0.5	0.1	 0.5	0.2	0.5
71	80	0.25	0.1	 0.5	0.2	0.5
73	80	0.25	0.1	 0.5	0.2	0.5
74	80	0.25	0.1	 0.5	0.2	0.5
71	80	0.25	0.1	 0.5	0.2	0.5
69	80	1	0.1	 0.5	0.2	0.5
67	80	0.5	0.1	 0.5	0.2	0.5
67	80	0.5	0.1	 0.5	0.2	0.5
66	80	0.5	0.1	 0.5	0.2	0.5
66	80	0.5	0.1	 0.5	0.2	0.5
64	80	0.5	0.1	 0.5	0.2	0.5
64	80	0.5	0.1	 0.5	0.2	0.5
62	80	1	0.1	 0.5	0.2	0.5
69	80	0.5	0.1	 0.5	0.2	0.5
69	80	0.25	0.1	 0.5	0.2	0.5
69	80	0.25	0.1	 0.5	0.2	0.5
67	80	0.5	0.1	 0.5	0.2	0.5
67	80	0.5	0.1	 0.5	0.2	0.5
66	80	0.5	0.1	 0.5	0.2	0.5
66	80	0.25	0.1	 0.5	0.2	0.5
66	80	0.25	0.1	 0.5	0.2	0.5
64	80	0.75	0.1	 0.5	0.2	0.5
64	80	0.25	0.1	 0.5	0.2	0.5
69	80	0.5	0.1	 0.5	0.2	0.5
69	80	0.25	0.1	 0.5	0.2	0.5
69	80	0.25	0.1	 0.5	0.2	0.5
67	80	0.25	0.1	 0.5	0.2	0.5
69	80	0.25	0.1	 0.5	0.2	0.5
71	80	0.25	0.1	 0.5	0.2	0.5
67	80	0.25	0.1	 0.5	0.2	0.5
66	80	0.5	0.1	 0.5	0.2	0.5
64	80	0.25	0.1	 0.5	0.2	0.5
64	80	0.25	0.1	 0.5	0.2	0.5
62	80	1	0.1	 0.5	0.2	0.5
